id,name,status,dup_predict,dup_train,Prediction,AD,Confidence
DB00006,Bivalirudin,"approved,investigational",,,Active,Active,0.7
DB00007,Leuprolide,"approved,investigational",,,Active,,0.54
DB00014,Goserelin,approved,,,Active,,0.56
DB00027,Gramicidin D,approved,,,Active,,0.5
DB00035,Desmopressin,approved,,,Active,,0.63
DB00050,Cetrorelix,"approved,investigational",,,Active,Active,0.74
DB00067,Vasopressin,approved,,,Active,,0.62
DB00080,Daptomycin,"approved,investigational",,,Active,,0.6
DB00091,Cyclosporine,"approved,investigational,vet_approved",,,Inactive,Inactive,0.7
DB00093,Felypressin,experimental,,,Active,,0.6
DB00104,Octreotide,"approved,investigational",,,Active,,0.58
DB00106,Abarelix,"approved,investigational,withdrawn",,,Active,Active,0.76
DB00114,Pyridoxal phosphate,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.7
DB00115,Cyanocobalamin,"approved,nutraceutical",,,Active,,0.53
DB00116,Tetrahydrofolic acid,nutraceutical,,,Inactive,,0.67
DB00117,Histidine,"investigational,nutraceutical",,,Inactive,Inactive,0.84
DB00118,Ademetionine,"approved,investigational,nutraceutical",,,Inactive,,0.6
DB00119,Pyruvic acid,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.82
DB00120,Phenylalanine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.83
DB00121,Biotin,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.7
DB00122,Choline,"approved,nutraceutical",,,Inactive,Inactive,0.88
DB00123,L-Lysine,"approved,nutraceutical",,,Inactive,Inactive,0.77
DB00125,Arginine,"investigational,nutraceutical",,,Inactive,Inactive,0.74
DB00126,Ascorbic acid,"approved,nutraceutical",,,Inactive,Inactive,0.77
DB00127,Spermine,"experimental,nutraceutical",,,Inactive,Inactive,0.85
DB00128,Aspartic acid,"approved,nutraceutical",,,Inactive,Inactive,0.82
DB00129,Ornithine,"approved,nutraceutical",,,Inactive,Inactive,0.82
DB00130,L-Glutamine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.8
DB00131,Adenosine phosphate,"approved,investigational,nutraceutical",,,Inactive,,0.63
DB00132,alpha-Linolenic acid,"approved,investigational,nutraceutical",,,Inactive,,0.69
DB00133,Serine,"investigational,nutraceutical",,,Inactive,Inactive,0.83
DB00134,Methionine,"approved,nutraceutical",,,Inactive,Inactive,0.81
DB00135,Tyrosine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.86
DB00136,Calcitriol,"approved,nutraceutical",,,Inactive,Inactive,0.7
DB00137,Lutein,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.7
DB00138,Cystine,"approved,nutraceutical",,,Inactive,Inactive,0.82
DB00139,Succinic acid,"approved,nutraceutical",,,Inactive,Inactive,0.8
DB00140,Riboflavin,"approved,investigational,nutraceutical,vet_approved",,,Inactive,,0.68
DB00141,N-Acetylglucosamine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.8
DB00142,Glutamic acid,"approved,nutraceutical",,,Inactive,Inactive,0.8
DB00143,Glutathione,"approved,investigational,nutraceutical",,,Inactive,,0.64
DB00144,Phosphatidyl serine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.74
DB00145,Glycine,"approved,nutraceutical,vet_approved",,,Inactive,Inactive,0.83
DB00146,Calcifediol,"approved,nutraceutical",,,Inactive,Inactive,0.73
DB00147,Pyridoxal,"experimental,nutraceutical",,,Inactive,Inactive,0.73
DB00148,Creatine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.71
DB00149,Leucine,"investigational,nutraceutical",,,Inactive,Inactive,0.81
DB00150,Tryptophan,"approved,nutraceutical,withdrawn",,,Inactive,Inactive,0.77
DB00151,Cysteine,"approved,nutraceutical",,,Inactive,Inactive,0.82
DB00152,Thiamine,"approved,investigational,nutraceutical,vet_approved",,,Inactive,Inactive,0.72
DB00153,Ergocalciferol,"approved,nutraceutical",,,Inactive,Inactive,0.73
DB00154,Dihomo-gamma-linolenic acid,"investigational,nutraceutical",,,Inactive,,0.69
DB00155,Citrulline,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.79
DB00156,Threonine,"approved,nutraceutical",,,Inactive,Inactive,0.84
DB00157,NADH,"approved,nutraceutical",,,Inactive,,0.56
DB00158,Folic acid,"approved,nutraceutical,vet_approved",,,Inactive,,0.59
DB00159,Icosapent,"approved,nutraceutical",,,Inactive,Inactive,0.77
DB00160,Alanine,nutraceutical,,,Inactive,Inactive,0.82
DB00161,Valine,"approved,nutraceutical",,,Inactive,Inactive,0.82
DB00162,Vitamin A,"approved,nutraceutical,vet_approved",,,Inactive,Inactive,0.84
DB00163,Vitamin E,"approved,nutraceutical,vet_approved",,,Inactive,Inactive,0.72
DB00165,Pyridoxine,"approved,investigational,nutraceutical,vet_approved",,,Inactive,,0.65
DB00166,Lipoic acid,"approved,investigational,nutraceutical",,,Inactive,,0.67
DB00167,Isoleucine,"investigational,nutraceutical",,,Inactive,Inactive,0.84
DB00168,Aspartame,"investigational,nutraceutical",,,Inactive,Inactive,0.7
DB00169,Cholecalciferol,"approved,nutraceutical",,,Inactive,,0.68
DB00170,Menadione,"approved,nutraceutical",,,Inactive,Inactive,0.85
DB00171,ATP,"investigational,nutraceutical",,,Inactive,,0.63
DB00172,Proline,nutraceutical,,,Inactive,Inactive,0.77
DB00173,Adenine,"approved,nutraceutical",,,Inactive,Inactive,0.72
DB00174,Asparagine,"approved,investigational,nutraceutical",,,Inactive,Inactive,0.84
DB00175,Pravastatin,approved,,,Inactive,Inactive,0.72
DB00176,Fluvoxamine,"approved,investigational",,,Inactive,Inactive,0.86
DB00177,Valsartan,"approved,investigational",,,Inactive,,0.6
DB00178,Ramipril,approved,,,Inactive,,0.68
DB00179,Masoprocol,"approved,investigational",,,Inactive,Inactive,0.83
DB00180,Flunisolide,"approved,investigational",,,Inactive,,0.64
DB00181,Baclofen,approved,,,Inactive,Inactive,0.83
DB00182,Amphetamine,"approved,illicit,investigational",,,Inactive,Inactive,0.86
DB00183,Pentagastrin,approved,,,Active,,0.56
DB00184,Nicotine,approved,,,Inactive,,0.68
DB00185,Cevimeline,approved,,,Inactive,Inactive,0.83
DB00186,Lorazepam,approved,,,Inactive,Inactive,0.75
DB00187,Esmolol,approved,,,Inactive,Inactive,0.78
DB00188,Bortezomib,"approved,investigational",,,Active,,0.52
DB00189,Ethchlorvynol,"approved,illicit,withdrawn",,,Inactive,Inactive,0.76
DB00190,Carbidopa,approved,,,Inactive,Inactive,0.85
DB00191,Phentermine,"approved,illicit",,,Inactive,Inactive,0.86
DB00192,Indecainide,approved,,,Inactive,Inactive,0.83
DB00193,Tramadol,"approved,investigational",,,Inactive,Inactive,0.7
DB00194,Vidarabine,"approved,investigational",,,Inactive,,0.69
DB00195,Betaxolol,"approved,investigational",,,Inactive,Inactive,0.81
DB00196,Fluconazole,"approved,investigational",,,Inactive,Inactive,0.7
DB00197,Troglitazone,"approved,investigational,withdrawn",,,Inactive,Inactive,0.79
DB00198,Oseltamivir,approved,,,Inactive,Inactive,0.87
DB00199,Erythromycin,"approved,investigational,vet_approved",,,Inactive,,0.56
DB00200,Hydroxocobalamin,approved,,,Inactive,,0.51
DB00201,Caffeine,approved,,,Inactive,Inactive,0.83
DB00202,Succinylcholine,approved,,,Inactive,Inactive,0.86
DB00203,Sildenafil,"approved,investigational",,,Inactive,,0.62
DB00204,Dofetilide,"approved,investigational",,,Inactive,Inactive,0.74
DB00205,Pyrimethamine,"approved,investigational,vet_approved",,,Inactive,,0.65
DB00206,Reserpine,"approved,investigational",,,Inactive,,0.69
DB00207,Azithromycin,approved,,,Inactive,,0.53
DB00208,Ticlopidine,approved,,,Inactive,Inactive,0.74
DB00209,Trospium,approved,,,Inactive,Inactive,0.75
DB00210,Adapalene,approved,,,Inactive,,0.65
DB00211,Midodrine,approved,,,Inactive,Inactive,0.82
DB00212,Remikiren,experimental,,,Inactive,,0.59
DB00213,Pantoprazole,approved,,,Inactive,Inactive,0.79
DB00214,Torasemide,approved,,,Inactive,Inactive,0.74
DB00215,Citalopram,approved,,,Inactive,,0.56
DB00216,Eletriptan,"approved,investigational",,,Inactive,Inactive,0.78
DB00217,Bethanidine,approved,,,Inactive,Inactive,0.73
DB00218,Moxifloxacin,"approved,investigational",,,Inactive,,0.51
DB00219,Oxyphenonium,approved,,,Inactive,Inactive,0.74
DB00220,Nelfinavir,approved,,,Inactive,Inactive,0.7
DB00221,Isoetharine,approved,,,Inactive,Inactive,0.96
DB00222,Glimepiride,approved,,,Inactive,Inactive,0.7
DB00223,Diflorasone,approved,,,Inactive,,0.58
DB00224,Indinavir,approved,,,Active,,0.56
DB00226,Guanadrel,approved,,,Inactive,Inactive,0.74
DB00227,Lovastatin,"approved,investigational",,,Inactive,Inactive,0.81
DB00228,Enflurane,"approved,investigational,vet_approved",,,Inactive,Inactive,0.82
DB00229,Cefotiam,"approved,investigational",,,Inactive,,0.58
DB00230,Pregabalin,"approved,investigational",,,Inactive,Inactive,0.8
DB00231,Temazepam,"approved,investigational",,,Inactive,Inactive,0.92
DB00232,Methyclothiazide,withdrawn,,,Inactive,Inactive,0.79
DB00233,Aminosalicylic acid,approved,,,Inactive,,0.67
DB00234,Reboxetine,"approved,experimental",,,Inactive,Inactive,0.77
DB00235,Milrinone,approved,,,Inactive,Inactive,0.83
DB00236,Pipobroman,approved,,,Inactive,Inactive,0.84
DB00237,Butabarbital,"approved,illicit",,,Inactive,Inactive,0.82
DB00238,Nevirapine,approved,,,Inactive,Inactive,0.83
DB00239,Oxiconazole,approved,,,Inactive,,0.67
DB00240,Alclometasone,approved,,,Inactive,,0.61
DB00241,Butalbital,"approved,illicit",,,Inactive,Inactive,0.76
DB00242,Cladribine,"approved,investigational",,,Inactive,,0.64
DB00243,Ranolazine,"approved,investigational",,,Inactive,Inactive,0.88
DB00244,Mesalazine,approved,,,Inactive,,0.67
DB00245,Benzatropine,approved,,,Inactive,Inactive,0.81
DB00246,Ziprasidone,approved,,,Inactive,,0.68
DB00247,Methysergide,approved,,,Inactive,Inactive,0.83
DB00248,Cabergoline,approved,,,Active,,0.51
DB00249,Idoxuridine,"approved,investigational",,,Inactive,Inactive,0.74
DB00250,Dapsone,"approved,investigational",,,Inactive,Inactive,0.94
DB00251,Terconazole,approved,,,Inactive,Inactive,0.77
DB00252,Phenytoin,"approved,vet_approved",,,Inactive,Inactive,0.82
DB00253,Medrysone,approved,,,Inactive,Inactive,0.73
DB00254,Doxycycline,"approved,investigational,vet_approved",,,Inactive,,0.59
DB00255,Diethylstilbestrol,"approved,investigational",,,Inactive,Inactive,0.91
DB00256,Lymecycline,"approved,investigational",,,Active,,0.54
DB00257,Clotrimazole,"approved,vet_approved",,,Inactive,Inactive,0.71
DB00258,Calcium acetate,"approved,investigational",,,Inactive,Inactive,0.82
DB00259,Sulfanilamide,approved,,,Inactive,Inactive,0.86
DB00260,Cycloserine,approved,,,Inactive,Inactive,0.85
DB00261,Anagrelide,approved,,,Inactive,Inactive,0.74
DB00262,Carmustine,"approved,investigational",,,Inactive,Inactive,0.71
DB00263,Sulfisoxazole,"approved,vet_approved",,,Inactive,Inactive,0.82
DB00264,Metoprolol,"approved,investigational",,,Inactive,Inactive,0.8
DB00265,Crotamiton,approved,,,Inactive,Inactive,0.74
DB00266,Dicoumarol,approved,,,Inactive,Inactive,0.73
DB00267,Cefmenoxime,approved,,,Inactive,,0.69
DB00268,Ropinirole,"approved,investigational",,,Inactive,Inactive,0.74
DB00269,Chlorotrianisene,"investigational,withdrawn",,,Inactive,Inactive,0.84
DB00270,Isradipine,"approved,investigational",,,Inactive,Inactive,0.73
DB00271,Diatrizoate,"approved,vet_approved",,,Inactive,Inactive,0.8
DB00272,Betazole,approved,,,Inactive,Inactive,0.89
DB00273,Topiramate,approved,,,Inactive,Inactive,0.83
DB00274,Cefmetazole,"approved,investigational",,,Inactive,Inactive,0.72
DB00275,Olmesartan,"approved,investigational",,,Inactive,,0.66
DB00276,Amsacrine,"approved,investigational",,,Inactive,,0.64
DB00277,Theophylline,approved,,,Inactive,Inactive,0.84
DB00278,Argatroban,"approved,investigational",,,Inactive,Inactive,0.7
DB00279,Liothyronine,"approved,vet_approved",,,Inactive,Inactive,0.72
DB00280,Disopyramide,approved,,,Inactive,Inactive,0.77
DB00281,Lidocaine,"approved,vet_approved",,,Inactive,Inactive,0.84
DB00282,Pamidronic acid,approved,,,Inactive,Inactive,0.82
DB00283,Clemastine,"approved,investigational",,,Inactive,Inactive,0.76
DB00284,Acarbose,"approved,investigational",,,Inactive,,0.66
DB00285,Venlafaxine,approved,,,Inactive,Inactive,0.79
DB00287,Travoprost,approved,,,Inactive,,0.64
DB00288,Amcinonide,approved,,,Inactive,,0.69
DB00289,Atomoxetine,approved,,,Inactive,Inactive,0.79
DB00290,Bleomycin,"approved,investigational",,,Active,,0.54
DB00291,Chlorambucil,approved,,,Inactive,,0.53
DB00292,Etomidate,approved,,,Inactive,Inactive,0.7
DB00293,Raltitrexed,"approved,investigational",,,Inactive,,0.66
DB00294,Etonogestrel,"approved,investigational",,,Inactive,Inactive,0.76
DB00295,Morphine,"approved,investigational",,,Inactive,Inactive,0.75
DB00296,Ropivacaine,approved,,,Inactive,Inactive,0.83
DB00297,Bupivacaine,"approved,investigational",,,Inactive,Inactive,0.82
DB00298,Dapiprazole,approved,,,Inactive,Inactive,0.7
DB00299,Penciclovir,approved,,,Inactive,,0.64
DB00300,Tenofovir disoproxil,"approved,investigational",,,Inactive,Inactive,0.72
DB00301,Flucloxacillin,"approved,investigational",,,Inactive,Inactive,0.78
DB00302,Tranexamic acid,approved,,,Inactive,Inactive,0.76
DB00303,Ertapenem,"approved,investigational",,,Inactive,,0.66
DB00304,Desogestrel,approved,,,Inactive,Inactive,0.81
DB00305,Mitomycin,approved,,,Inactive,,0.66
DB00306,Talbutal,"approved,illicit",,,Inactive,Inactive,0.77
DB00307,Bexarotene,"approved,investigational",,,Inactive,,0.68
DB00308,Ibutilide,approved,,,Inactive,Inactive,0.7
DB00309,Vindesine,"approved,investigational",,,Inactive,,0.54
DB00310,Chlorthalidone,approved,,,Inactive,Inactive,0.76
DB00311,Ethoxzolamide,withdrawn,,,Inactive,Inactive,0.84
DB00312,Pentobarbital,"approved,investigational,vet_approved",,,Inactive,Inactive,0.8
DB00313,Valproic acid,"approved,investigational",,,Inactive,Inactive,0.86
DB00314,Capreomycin,approved,,,Inactive,,0.57
DB00315,Zolmitriptan,"approved,investigational",,,Inactive,,0.66
DB00316,Acetaminophen,approved,,,Inactive,Inactive,0.86
DB00317,Gefitinib,"approved,investigational",,,Inactive,Inactive,0.72
DB00318,Codeine,"approved,illicit",,,Inactive,Inactive,0.75
DB00319,Piperacillin,approved,,,Inactive,Inactive,0.72
DB00320,Dihydroergotamine,"approved,investigational",,,Inactive,,0.58
DB00321,Amitriptyline,approved,,,Inactive,,0.64
DB00322,Floxuridine,approved,,,Inactive,Inactive,0.76
DB00323,Tolcapone,"approved,withdrawn",,,Inactive,Inactive,0.78
DB00324,Fluorometholone,"approved,investigational",,,Inactive,,0.68
DB00325,Nitroprusside,"approved,investigational",,,Inactive,Inactive,0.86
DB00326,Calcium glucoheptonate,approved,,,Inactive,Inactive,0.82
DB00327,Hydromorphone,"approved,illicit",,,Inactive,Inactive,0.83
DB00328,Indomethacin,"approved,investigational",,,Inactive,Inactive,0.72
DB00330,Ethambutol,approved,,,Inactive,Inactive,0.89
DB00331,Metformin,approved,,,Inactive,,0.69
DB00332,Ipratropium,"approved,experimental",,,Inactive,Inactive,0.74
DB00333,Methadone,approved,,,Inactive,Inactive,0.75
DB00334,Olanzapine,"approved,investigational",,,Inactive,Inactive,0.8
DB00335,Atenolol,approved,,,Inactive,Inactive,0.84
DB00336,Nitrofural,"approved,investigational,vet_approved",,,Inactive,Inactive,0.87
DB00337,Pimecrolimus,"approved,investigational",,,Inactive,,0.66
DB00338,Omeprazole,"approved,investigational,vet_approved",,,Inactive,Inactive,0.7
DB00339,Pyrazinamide,"approved,investigational",,,Inactive,,0.64
DB00340,Metixene,approved,,,Inactive,Inactive,0.75
DB00341,Cetirizine,approved,,,Inactive,Inactive,0.78
DB00342,Terfenadine,"approved,withdrawn",,,Inactive,,0.67
DB00343,Diltiazem,"approved,investigational",,,Inactive,,0.66
DB00344,Protriptyline,approved,,,Inactive,Inactive,0.85
DB00345,Aminohippuric acid,"approved,investigational",,,Inactive,Inactive,0.84
DB00346,Alfuzosin,"approved,investigational",,,Inactive,,0.63
DB00347,Trimethadione,approved,,,Inactive,Inactive,0.87
DB00348,Nitisinone,"approved,investigational",,,Inactive,,0.68
DB00349,Clobazam,"approved,illicit",,,Inactive,Inactive,0.88
DB00350,Minoxidil,"approved,investigational",,,Inactive,Inactive,0.77
DB00351,Megestrol acetate,"approved,investigational,vet_approved",,,Inactive,Inactive,0.76
DB00352,Tioguanine,approved,,,Inactive,,0.62
DB00353,Methylergometrine,approved,,,Inactive,Inactive,0.74
DB00354,Buclizine,approved,,,Inactive,Inactive,0.79
DB00355,Aztreonam,approved,,,Inactive,Inactive,0.72
DB00356,Chlorzoxazone,approved,,,Inactive,Inactive,0.82
DB00357,Aminoglutethimide,"approved,investigational",,,Inactive,Inactive,0.93
DB00358,Mefloquine,"approved,investigational",,,Inactive,,0.69
DB00359,Sulfadiazine,"approved,investigational,vet_approved",,,Inactive,Inactive,0.76
DB00360,Sapropterin,"approved,investigational",,,Inactive,,0.66
DB00361,Vinorelbine,"approved,investigational",,,Inactive,,0.55
DB00362,Anidulafungin,"approved,investigational",,,Inactive,,0.68
DB00363,Clozapine,approved,,,Inactive,Inactive,0.7
DB00364,Sucralfate,approved,,,Inactive,Inactive,0.7
DB00365,Grepafloxacin,"approved,investigational,withdrawn",,,Inactive,,0.56
DB00366,Doxylamine,"approved,vet_approved",,,Inactive,,0.67
DB00367,Levonorgestrel,"approved,investigational",,,Inactive,Inactive,0.79
DB00368,Norepinephrine,approved,,,Inactive,Inactive,0.86
DB00369,Cidofovir,approved,,,Inactive,,0.68
DB00370,Mirtazapine,approved,,,Inactive,Inactive,0.83
DB00371,Meprobamate,"approved,illicit",,,Inactive,Inactive,0.78
DB00372,Thiethylperazine,"approved,withdrawn",,,Inactive,Inactive,0.72
DB00373,Timolol,approved,,,Inactive,Inactive,0.77
DB00374,Treprostinil,"approved,investigational",,,Inactive,,0.62
DB00376,Trihexyphenidyl,approved,,,Inactive,Inactive,0.72
DB00377,Palonosetron,"approved,investigational",,,Inactive,Inactive,0.77
DB00378,Dydrogesterone,"approved,investigational,withdrawn",,,Inactive,Inactive,0.78
DB00379,Mexiletine,"approved,investigational",,,Inactive,Inactive,0.86
DB00380,Dexrazoxane,"approved,withdrawn",,,Inactive,Inactive,0.74
DB00381,Amlodipine,approved,,,Inactive,Inactive,0.9
DB00382,Tacrine,"approved,investigational,withdrawn",,,Inactive,Inactive,0.78
DB00383,Oxyphencyclimine,approved,,,Inactive,Inactive,0.71
DB00384,Triamterene,approved,,,Inactive,,0.56
DB00385,Valrubicin,approved,,,Inactive,,0.53
DB00387,Procyclidine,approved,,,Inactive,Inactive,0.72
DB00388,Phenylephrine,approved,,,Inactive,Inactive,0.78
